,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2246,18300572,0,6,6,2,9,1,0,3,0,24,1,0,0,0,2,0,0,0,0,1,12184.529397417014,12440.36064121961,12461.197517278828,13491.011822194254,9883.563778377717,14676.121436688161
2247,18301280,0,2,3,2,2,1,0,24,0,9,0,0,0,0,1,0,0,1,0,1,9628.634312250997,10419.176303244538,10473.7476710017,11107.60404541042,6429.175679731188,9307.45335761087
2248,18301811,0,1,0,0,3,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,12253.513240219489,12891.260421280236,13708.460423721985,14038.403047218457,7124.444190501025,11001.552005575852
2249,18302582,1,8,9,9,18,0,0,21,0,192,0,0,1,1,1,0,0,2,0,1,2353.4941314333114,2474.1152918038642,2807.65153436869,3603.248052177637,4598.80969505866,7120.6112283470375
2250,18303827,1,16,25,8,20,1,2,37,11,49,0,0,1,0,5,0,3,0,0,8,1209.957956308343,1922.7190156101847,1995.933205305232,2869.040133531955,2695.8529216470033,5247.169693245726
2251,18304223,1,16,26,27,29,1,3,1,1,66,2,1,2,0,5,0,1,1,0,9,1491.839096692891,2025.0377596387202,2194.342011284869,2731.8947313919302,2669.986211645555,7083.646856619935
2252,18317267,1,8,15,14,33,0,1,36,0,221,3,0,1,1,1,0,0,1,0,4,2028.0766526994537,2105.66074697095,2464.6408831727967,3230.4647149016682,4158.54480493636,6965.163519825327
2253,18320924,0,0,1,0,0,0,0,11,2,4,0,0,0,0,0,0,0,0,0,0,10392.22995493978,11572.106402582289,12286.938052669,12543.06005271933,4648.101478235113,9420.75116031315
2254,18320947,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,16256.699535789285,16396.500519926212,16719.169674694418,17413.936811917334,15587.821193689617,19701.4453450339
2255,18323759,1,5,7,4,4,0,6,24,0,56,0,0,0,0,4,0,0,0,0,2,797.9496565842242,3422.322141953079,3787.1937443032,3866.916263049858,3721.7892855008404,5424.242321324214
2256,18324582,1,54,33,51,46,2,15,57,15,43,3,4,1,1,4,0,11,0,0,16,1451.0563089575935,1522.0290648749924,1657.1195042540817,2125.0555603893395,2502.0482649510077,5087.384125859393
2257,18328816,1,13,12,7,8,1,2,10,4,23,0,0,0,0,2,0,0,0,0,3,338.14875103889017,1858.1659357223607,2533.6149467576092,3162.922708077992,1636.618322211797,6973.747029369961
2258,18336892,1,74,85,39,58,7,10,11,17,50,6,2,1,0,4,0,8,0,0,8,433.3174001145801,473.2361365291381,793.2103618050112,1514.4538389125655,1044.9149963377454,5754.551272515362
2259,18349413,1,9,4,11,1,0,1,8,0,7,2,0,0,0,5,0,0,2,0,2,1513.495249094219,2319.9572082246445,2612.6139603745473,3623.1564201315405,2516.1459825419547,7756.411862120778
2260,18374092,0,7,19,14,11,1,6,13,0,125,1,0,0,0,2,0,0,2,0,2,6404.923284326875,6633.410544351054,6826.553826868896,7717.158362144248,5383.525383698109,9723.974421011168
2261,18374461,0,3,2,3,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,18165.938967598537,20020.75415248435,20593.795688997838,20749.61389969275,11360.872613701224,17233.165135644354
2262,18381404,0,7,3,8,5,0,0,17,0,48,0,0,0,0,1,0,0,3,0,3,6207.374733951224,6250.301484378369,7298.677830416988,8016.2939942870935,6663.902009871465,9658.517116705349
2263,18383605,1,59,70,42,105,2,5,49,16,93,7,4,1,7,1,0,4,0,0,8,1026.77590265263,1030.6518204004315,1415.2659496184558,2211.9086316420407,3127.5828203958013,6313.81797198652
2264,18385965,0,7,11,4,17,1,0,20,0,35,0,0,0,0,0,0,0,0,0,0,12870.594191476992,13524.61780737156,13667.906120951668,14389.403581438672,9196.688558556034,12624.398081701502
2265,18392187,1,28,26,13,13,1,2,27,17,39,6,0,0,0,3,0,1,0,1,6,547.4758759293622,997.6320318348107,1307.1321191102504,2083.8846437866973,486.6344626081516,5919.367748688904
