,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2017,28650618,1,2,1,1,6,0,0,17,0,29,1,0,0,0,3,0,1,0,1,2,3267.785625290481,3497.8840081277535,4383.2372665866305,6310.734141294513,2901.8872750992928,11970.558801234136
2018,28651800,1,2,1,1,7,1,0,25,0,56,0,0,0,0,0,0,0,0,1,2,5306.722842856324,5382.913304625194,5444.475671049989,7898.496123106664,6571.491212369514,16319.603653976303
2019,28651801,1,6,5,10,10,0,1,59,3,90,2,0,0,0,2,1,1,0,1,10,3794.7863010434858,3844.242077726119,3900.3683724988737,6368.004025904555,5199.691128769405,14795.459279431878
2020,28658094,1,29,41,37,81,3,4,119,2,88,4,0,1,4,2,0,9,1,1,16,2597.9335668688354,2605.294008528445,2620.193215025859,4808.934078742661,4135.516898975537,13016.83560830678
2021,28659989,1,78,95,55,238,5,4,102,10,69,16,0,4,2,9,0,32,0,1,21,816.6787271649129,845.4873849331459,865.0237102215124,3489.757027431144,2358.9877590579854,12230.518345577399
2022,28661182,1,8,6,9,12,0,0,26,6,56,2,0,2,1,0,0,1,0,1,2,863.4642283466476,1398.6975280335616,3975.727472036175,4430.318411176487,504.4908860461068,10444.145011097327
2023,28661210,1,10,10,10,32,0,0,61,6,129,4,1,0,0,6,3,1,0,1,11,2031.8872618129774,2722.045804812865,3045.4326668035137,4621.639009460182,2194.5471840340947,10608.779581178373
2024,28661593,1,52,73,99,172,4,4,189,9,87,16,2,7,10,6,1,11,2,1,31,923.1113129280839,1357.7783061364012,1400.151492868659,3245.1440680182454,326.66039084876275,11544.366469460947
2025,28664976,1,5,5,4,7,0,0,35,1,79,2,0,1,0,0,0,0,0,1,2,4358.614139707317,4467.886008028476,4533.429572805158,7024.151727158025,5388.665149765002,15746.814787518882
2026,28676639,1,4,6,2,6,0,0,25,0,90,0,0,0,0,0,0,0,0,0,4,4813.065065360006,4859.473617751135,4914.688654520904,7318.082830719884,6219.976625352759,15573.423372353554
2027,28679278,1,36,38,24,65,1,0,76,4,74,3,0,0,0,8,0,4,0,1,21,1950.476539274437,2060.316980474834,2125.941861791873,4742.204189762111,3099.326715221269,13574.854568293287
2028,28679382,1,61,93,52,184,15,25,82,14,100,11,0,4,2,1,0,8,1,1,31,1070.316497794853,1683.0145940112736,2154.7094631369982,3068.486928097606,2362.6982641245604,10842.442451465326
2029,28682627,1,6,6,11,25,1,0,50,2,39,2,0,1,0,5,2,1,0,1,15,2052.417450979959,3582.1937055478634,4772.173867948456,5820.3766212943965,3970.456367424459,13959.619687676954
2030,28687710,1,73,61,33,123,5,7,67,6,53,6,0,5,3,11,0,8,0,1,19,1166.6137856681141,1316.7333317051043,1463.6482733604228,3875.813065720327,1670.552537706652,12687.507398251759
2031,28688384,1,34,49,34,134,5,11,72,9,89,5,0,2,0,5,0,6,0,1,22,1217.6526054242695,1615.3423146058055,2066.811675044025,3083.8314351198164,2163.777383213249,10651.382831023577
2032,28703488,1,2,4,7,9,2,0,25,0,63,1,0,0,0,6,6,0,1,0,11,5193.790981569293,6726.962909548522,6916.548250752401,8524.22162739695,6309.613506444244,17334.385255893667
2033,28706079,1,4,6,17,10,2,0,71,5,116,3,0,0,0,1,1,0,2,1,8,1790.312190679947,2218.0473455366046,2802.7222183817676,4830.459457569508,1978.2789313791498,11381.802763946893
2034,28708084,1,104,117,57,232,1,2,96,8,52,10,0,7,3,9,0,14,1,1,23,711.0729133482337,853.0457896081313,914.4120364693028,3590.3024848404043,1802.0016652618708,12462.8282464438
2035,28714145,1,42,59,40,119,1,4,87,2,80,5,0,2,6,6,0,11,0,1,20,1712.2261143885032,1726.5138785293113,1774.3331269611347,4353.7215765006395,3213.6690381085405,13000.377912696014
2036,28716379,1,20,12,21,22,1,0,52,7,86,5,1,1,1,0,0,0,0,1,15,653.5718858504974,1734.208611345096,3880.034609415767,4349.820893316495,551.1763896748854,10278.774663644948
2037,28727579,1,50,100,45,140,21,42,73,10,51,18,0,5,7,3,0,11,0,1,16,403.564359484714,797.5909009841257,1235.8012487119574,2849.5082024506196,1642.365299573887,11128.820860904221
2038,28730742,1,25,37,35,70,1,2,100,0,122,3,0,0,5,1,0,8,1,1,16,2747.9658639207346,2775.8923791296793,2786.4279808889805,5010.352822305323,4290.324269534987,13230.587456499561
2039,28736303,1,2,1,2,6,0,0,30,4,62,1,0,0,0,0,0,1,0,1,3,6474.281683471979,7139.534764200067,8292.671285536077,9668.96633723765,7533.269065885634,18404.606312799144
2040,28738041,1,13,10,11,36,2,0,26,8,28,2,0,0,0,2,0,3,0,1,8,2029.4687552804667,3070.481340283188,3218.9762734028736,5367.26951854543,3101.210553199717,14239.831174638675
2041,28746606,1,0,5,17,7,0,0,47,1,53,5,0,0,0,1,0,2,1,1,5,7586.641396629324,8905.840844771386,9045.070830652952,10259.528687904007,10533.589588640592,15917.5979337738
2042,28748213,1,7,4,1,23,0,1,20,2,41,4,0,0,0,2,0,2,0,1,4,878.1623790006397,3179.4309478302266,3507.8327811876698,4294.672098768469,3488.9079851174133,11007.594683020508
2043,28752653,1,18,11,12,28,1,0,48,4,66,3,0,0,0,6,0,0,0,1,18,2032.4310913170818,3833.8878702636475,3964.142768426456,5548.48950745323,3153.93911377218,14267.018556020577
2044,28752849,1,0,0,0,0,0,0,13,0,18,0,0,0,0,0,2,0,0,0,0,4996.186021927466,7990.189740062585,8554.870089173226,10079.983768388991,8287.622603823256,16633.730619645397
2045,28757287,1,4,3,2,7,2,0,38,0,64,2,0,0,0,0,0,0,0,1,9,3769.1549456960333,4593.518028585183,6541.242613400622,7303.3743190607365,5327.490251851076,15669.619829236044
2046,28767433,1,17,13,13,39,3,0,40,10,27,2,0,0,0,2,0,3,0,1,7,2098.7907172710397,3276.6782353231592,3424.302820586644,5501.150172794513,3208.795061957357,14366.708927065785
2047,28770399,1,6,6,5,13,2,0,36,1,24,2,0,1,0,0,0,2,0,1,6,3685.265984420855,4355.0955417296445,5624.706747883745,6804.324098211246,4613.323296955728,15373.046382138495
2048,28773820,1,2,2,2,2,1,0,31,0,19,0,0,0,0,0,0,0,0,0,0,3923.378118821262,6732.542796041061,7279.915237735112,8915.341170083371,7011.542617400294,15502.90277736433
2049,28775919,1,6,10,15,21,0,2,46,2,70,3,0,0,0,0,0,0,1,1,9,3061.5548345367606,3169.3136921306955,3342.478341579579,5085.432774400803,4800.66942631996,12838.009226211998
2050,28783923,1,6,17,18,37,2,1,67,2,69,4,0,0,0,0,0,1,1,1,9,2718.4353305055106,2869.008672225591,2873.7246224985597,4756.744518594599,4341.9550286103195,12709.906987257531
2051,28804561,1,7,5,7,10,0,0,26,6,60,1,0,1,1,0,0,0,0,1,2,981.7775011971281,1549.2766796357748,4126.551626159053,4545.5523585712135,614.5876747292725,10502.597483171421
2052,28805866,1,4,2,6,7,1,1,39,2,40,1,0,0,0,3,0,0,0,1,8,4989.87789957543,4997.331909098325,5017.963185707957,6876.9385184609555,6554.723333288185,14304.960520877656
2053,28809659,1,18,35,32,125,3,12,85,9,58,6,0,2,1,4,0,9,0,1,21,1511.6427282037191,1968.5039059333735,2192.334350385243,3266.431389895323,1239.3646060308402,11077.659046768178
2054,28819927,1,6,1,7,10,0,0,17,3,31,2,0,0,0,2,0,0,0,1,2,3198.5131051669714,3651.3529828484393,3795.5431958878376,6174.965240035025,4130.284760828254,15079.71643456028
2055,28824810,1,108,119,59,278,3,2,103,8,55,16,0,8,3,10,0,31,1,1,24,506.465911340472,586.9890468290871,651.1995017230498,3435.5590526912365,1957.8411028677515,12313.576779186658
2056,28828214,1,26,26,16,43,1,0,65,5,102,5,0,0,0,8,0,1,0,1,22,2775.8069439085352,2892.2095703028,2957.931172011371,5506.778957212875,3802.3052264468065,14327.350838634558
2057,28833765,1,96,112,78,211,5,7,89,7,77,16,1,11,7,13,1,15,2,1,36,947.3440344139779,1081.783145856333,1096.3304132786927,3490.9336945452897,1240.585115136504,12234.443897066201
2058,28849266,1,22,9,17,26,1,0,41,5,64,4,0,3,1,0,0,1,0,1,11,194.73096981198768,1306.9403633647883,3381.9087996617936,3986.18864690539,423.4914701242871,10194.62398644829
2059,28851986,1,35,44,25,102,1,3,68,4,59,5,0,2,1,5,0,8,0,1,16,1545.0405210681743,1598.7140403190187,1656.8136064132584,4311.104644039322,2980.823485859066,13063.913457078628
2060,28854324,1,10,20,16,111,2,0,68,7,65,4,0,1,0,4,0,4,0,1,19,2143.510309207835,2254.9631363295125,2282.6090431859006,3665.345645657502,1573.8116153113208,11510.633241550488
2061,28858927,1,43,41,21,137,2,5,72,7,102,7,0,2,3,4,0,10,1,1,25,1597.2438618996828,2056.265624136469,2415.8767859764116,3460.3823827164492,2781.653177755325,10755.724862386103
2062,28865047,1,39,61,38,166,4,4,108,7,66,6,0,4,2,6,0,16,0,1,18,1359.9779161275235,1390.8365386050984,1396.5957333046385,3914.409283781968,2901.9210550500925,12531.328007206119
2063,28933950,1,11,21,18,106,1,0,96,7,63,5,0,2,0,3,0,4,0,1,21,1929.198642021568,2232.650199633256,2485.1316166648885,3669.2258447176814,1429.9739906176696,11583.743541953889
2064,28936103,1,0,0,1,4,0,0,14,0,23,0,0,0,0,0,0,0,0,0,2,4774.445219660835,6349.623715503517,6574.865982964969,7687.330504268789,7986.959167476756,14014.47210143871
2065,28937844,1,68,76,41,210,6,6,83,7,66,18,0,3,3,1,0,26,1,1,9,435.12335476075043,704.6515713143394,734.431767595531,3103.2043410152587,2060.9918180345285,11744.240394865104
2066,28953693,1,5,2,2,12,0,0,32,0,31,1,0,0,0,1,0,0,0,1,3,4305.143592285504,5032.614679987069,6306.704604652786,7446.066223454524,3978.132556255518,12149.324619519935
2067,29047787,1,21,40,19,110,4,5,72,10,141,4,0,2,1,2,0,5,0,1,23,1652.8800865494914,1740.893534293375,1818.6533056624455,3237.329058378074,2179.314698801308,10568.609672638559
