id,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others,count,brightness,contrast
13617130,0,3,1,0,3,1,2,10,108.61649797453704,1.0
1362758,4,5,0,2,6,5,1,23,163.44200486877588,0.9986439477245813
13638740,2,3,0,0,1,4,0,10,148.9243012374645,0.9991150442477876
13670588,2,7,0,1,1,0,1,12,135.15232268156828,1.0
13678827,1,2,1,0,6,4,3,17,122.25508076320806,1.0
13704917,1,2,3,0,1,5,2,14,118.64214362133744,0.9994419642857143
13705924,1,11,2,0,4,0,1,19,104.18853919934742,0.9991760190918473
13708811,3,4,0,0,2,3,3,15,178.00998514660495,1.0
13711151,3,1,0,1,2,2,3,12,115.11890216424467,0.9924567277568922
1381350,1,1,0,1,1,3,1,8,143.80279931841565,1.0
1385255,2,2,1,2,2,2,9,20,132.56381884033394,0.9976602564102564
13853132,2,7,1,0,1,0,0,11,125.10340073185557,0.9978693181818182
13887915,2,3,0,0,1,0,1,7,116.83539829512051,0.969692000415315
1394833,1,2,0,0,1,4,0,8,102.69861336162552,1.0
13967894,1,2,2,0,1,4,0,10,135.77522948816875,1.0
13974371,10,22,1,4,5,5,6,53,146.99726104015625,0.997564190993236
13974569,1,1,1,0,0,0,3,6,107.49169565543554,1.0
13987746,2,6,0,0,6,2,5,21,134.17059438817964,0.9807611180328211
14033962,1,2,0,1,1,0,0,5,195.64945884773664,0.9548890269467061
14069805,2,2,1,3,2,1,10,21,138.0362727727538,0.9962905426852295
14079390,4,4,0,3,3,5,2,21,121.44887931272045,1.0
14090088,1,3,0,0,1,1,0,6,102.03543793938616,1.0
14102156,4,4,0,0,8,5,4,25,142.5529928240741,0.9993610712577714
14117145,1,2,0,0,1,2,0,6,118.22465360832474,0.9986979166666666
14160809,1,7,1,6,8,2,2,27,143.76409048505334,0.9979572450936992
14170865,1,2,0,0,2,1,1,7,118.07997571125709,0.9781386314067612
14198199,2,3,0,1,1,4,1,12,148.61814670273577,0.9993438320209974
14218520,3,6,1,1,1,2,0,14,140.5734250073486,1.0
