,id,prop_of_eng_reviews,mean_compound,mean_negativity,mean_neutrality,mean_positivity,mean_review_length,prop_of_neg_comp,most_neg_compound,most_pos_compound
2815,40186640,0.75,0.5442750000000001,0.0,0.6585,0.3415,68.75,0.0,0.4215,0.7496
2816,40188285,0.47368421052631576,0.6784210526315789,0.007947368421052632,0.5361228070175439,0.4384035087719298,88.12280701754386,0.017543859649122806,-0.0432,0.9709
2817,40189354,0.3825136612021858,0.6512956284153,0.0167103825136612,0.5566120218579239,0.4048360655737703,132.59016393442624,0.03825136612021858,-0.5844,0.9772
2818,40190121,0.0,0.939,0.0,0.414,0.586,116.0,0.0,0.939,0.939
2819,40197395,0.0,0.5719,0.0,0.85,0.15,114.0,0.0,0.5719,0.5719
2820,40201805,0.8,0.50218,0.041600000000000005,0.6892,0.2694,200.4,0.0,0.0,0.9293
2821,40230681,1.0,0.8478,0.0,0.737,0.263,138.0,0.0,0.8478,0.8478
2822,40231143,1.0,0.7906,0.025,0.861,0.114,374.0,0.0,0.7906,0.7906
2823,40232071,0.6666666666666666,0.8581333333333333,0.009666666666666667,0.745,0.24533333333333332,271.6666666666667,0.0,0.6725,0.9575
2824,40271422,0.25,0.7610125000000001,0.0,0.46525,0.5347500000000001,98.875,0.0,0.2714,0.9664
2825,40294006,1.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0
2826,40305300,0.6666666666666666,0.6855666666666668,0.06833333333333333,0.6643333333333333,0.26733333333333337,238.33333333333334,0.0,0.1761,0.9524
2827,40316492,0.5,0.4618333333333334,0.021166666666666667,0.5921666666666666,0.38666666666666666,129.83333333333334,0.16666666666666666,-0.4939,0.9229
2828,40344151,0.7777777777777778,0.5862166666666666,0.02427777777777778,0.617,0.3586666666666667,126.38888888888889,0.05555555555555555,-0.3209,0.9796
2829,40374243,1.0,0.7547,0.0,0.682,0.318,116.0,0.0,0.7547,0.7547
2830,40382838,0.0,0.73645,0.0,0.8005,0.19949999999999998,217.0,0.0,0.5256,0.9473
2831,40387580,1.0,0.48385,0.0115,0.866,0.1225,227.0,0.0,0.0,0.9677
2832,40410935,0.5,0.8187833333333333,0.0,0.541,0.459,141.66666666666666,0.0,0.6249,0.984
2833,40436764,1.0,0.9409,0.0,0.684,0.316,224.0,0.0,0.9409,0.9409
2834,40440045,1.0,0.9452,0.049,0.708,0.2435,911.0,0.0,0.9062,0.9842
2835,40448228,0.0,0.7731666666666666,0.0,0.48233333333333334,0.5176666666666666,119.0,0.0,0.4927,0.9336
2836,40457157,0.3333333333333333,0.5958666666666667,0.016666666666666666,0.7344166666666667,0.24883333333333335,199.5,0.08333333333333333,-0.6085,0.9153
2837,40459210,0.562962962962963,0.8149318518518518,0.006325925925925928,0.5271851851851852,0.4591185185185186,158.25185185185185,0.007407407407407408,-0.3762,0.9934
2838,40478231,0.5,0.7547625,0.00925,0.7461249999999999,0.24475,321.375,0.0,0.4215,0.9925
2839,40480037,0.2857142857142857,0.8429142857142856,0.0,0.6394285714285715,0.3605714285714286,156.42857142857142,0.0,0.6249,0.9796
2840,40501263,0.0,0.9378,0.0,0.393,0.607,100.0,0.0,0.9378,0.9378
2841,40548074,0.0,0.9602,0.0,0.7,0.3,303.0,0.0,0.9602,0.9602
2842,40553420,0.6666666666666666,0.66045,0.024499999999999997,0.43716666666666665,0.3718333333333333,131.33333333333334,0.0,0.0,0.9337
2843,40553912,0.0,0.6588,0.0,0.532,0.468,42.0,0.0,0.6588,0.6588
2844,40560472,0.6923076923076923,0.5498384615384615,0.010846153846153847,0.5632307692307692,0.3490000000000001,112.23076923076923,0.07692307692307693,-0.406,0.9118
2845,40573988,0.14285714285714285,0.8403714285714285,0.0,0.4635714285714286,0.5364285714285714,116.14285714285714,0.0,0.6249,0.9811
2846,40601585,1.0,0.9136,0.0,0.623,0.377,140.0,0.0,0.9136,0.9136
2847,40604538,0.375,0.8799375,0.01425,0.6211249999999999,0.36474999999999996,357.375,0.0,0.4404,0.9835
2848,40606786,1.0,0.8251,0.0,0.4735,0.5265,116.0,0.0,0.6908,0.9594
2849,40607628,0.8,0.6817599999999999,0.0,0.6806,0.3194,132.9,0.0,0.0,0.9577
2850,40627391,0.0,0.6249,0.0,0.423,0.577,25.0,0.0,0.6249,0.6249
2851,40628915,1.0,0.9412,0.0,0.676,0.324,250.0,0.0,0.9412,0.9412
2852,40654557,0.0,0.9207333333333333,0.0,0.5796666666666667,0.4203333333333334,153.33333333333334,0.0,0.9092,0.9438
2853,40664554,0.75,0.84465,0.00625,0.614,0.37975000000000003,156.75,0.0,0.765,0.9637
2854,40668197,1.0,0.765,0.0,0.312,0.688,41.0,0.0,0.765,0.765
2855,40669810,1.0,0.9382,0.0,0.667,0.333,212.0,0.0,0.9382,0.9382
2856,40671907,0.3333333333333333,0.9164,0.0,0.5419999999999999,0.458,156.66666666666666,0.0,0.8214,0.9691
2857,40701894,0.8571428571428571,0.7922285714285714,0.0,0.5359999999999999,0.46399999999999997,94.57142857142857,0.0,0.3971,0.9348
2858,40715943,0.041666666666666664,0.7364541666666667,0.0025833333333333333,0.5813750000000001,0.4160416666666667,126.54166666666667,0.0,0.0,0.9696
2859,40719026,0.5,0.9316,0.0,0.5715,0.4285,207.5,0.0,0.9035,0.9597
2860,40743012,1.0,0.58685,0.082,0.777,0.14150000000000001,317.0,0.0,0.4307,0.743
2861,40748417,0.3888888888888889,0.699698611111111,0.020486111111111108,0.6114305555555555,0.36805555555555547,188.25,0.041666666666666664,-0.3275,0.985
2862,40750080,1.0,0.6597,0.0,0.808,0.192,172.0,0.0,0.6597,0.6597
2863,40772981,0.2,0.48858000000000007,0.006,0.4814,0.5126000000000001,69.2,0.0,0.0,0.7082
2864,40810948,0.25,0.7789250000000001,0.0,0.43325,0.5667500000000001,62.25,0.0,0.7088,0.8999
2865,40830221,0.6666666666666666,0.8345666666666668,0.008666666666666666,0.564,0.42733333333333334,120.0,0.0,0.6697,0.926
2866,40835851,0.0,0.9238999999999999,0.0,0.46549999999999997,0.5345,133.0,0.0,0.8925,0.9553
2867,40839352,0.5,0.95155,0.0,0.6910000000000001,0.309,296.5,0.0,0.9331,0.97
2868,40850493,1.0,0.7383,0.0,0.676,0.324,76.0,0.0,0.7383,0.7383
2869,40858571,1.0,0.56574,0.0,0.7495999999999999,0.2504,95.2,0.0,0.0,0.8897
2870,40880577,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,0.0
