,n_estimators,colsample_bytree,max_depth,gamma,reg_lambda,subsample,MSE,MAE,R2
74,100.0,0.1,50.0,10.0,0.0,0.9,0.17756667275118182,0.3193992988985047,0.5928134109022568
75,100.0,0.1,50.0,10.0,1.0,0.5,0.18166879820850093,0.32271500479627,0.5833269962837239
76,100.0,0.1,50.0,10.0,1.0,0.7,0.17734740485127637,0.3192724983138321,0.5934554213673546
77,100.0,0.1,50.0,10.0,1.0,0.9,0.17673558997087568,0.3182565831472273,0.59476246473343
78,100.0,0.1,50.0,10.0,10.0,0.5,0.18678433643284179,0.32491289309671956,0.5716045063327365
79,100.0,0.1,50.0,10.0,10.0,0.7,0.18276362716300434,0.3217970232951421,0.5808602087811929
80,100.0,0.1,50.0,10.0,10.0,0.9,0.17996177311425385,0.3191794983442777,0.5872545186639815
81,100.0,0.5,3.0,0.0,0.0,0.5,0.15398332197402634,0.2907869023096282,0.6470988569228413
82,100.0,0.5,3.0,0.0,0.0,0.7,0.14842326877449502,0.28620816480037903,0.6598142659359615
83,100.0,0.5,3.0,0.0,0.0,0.9,0.1442111733334647,0.28070479258681663,0.6694655499517367
84,100.0,0.5,3.0,0.0,1.0,0.5,0.15153007176947192,0.2880260397435917,0.6526238943551302
85,100.0,0.5,3.0,0.0,1.0,0.7,0.1445864058465936,0.28269124601217627,0.6685184120032807
86,100.0,0.5,3.0,0.0,1.0,0.9,0.14169435531505334,0.2787392663354472,0.6752525651074414
87,100.0,0.5,3.0,0.0,10.0,0.5,0.14817910322519987,0.2850605969988254,0.6601856703387469
88,100.0,0.5,3.0,0.0,10.0,0.7,0.14331581560638662,0.27828602224054655,0.6714343287918231
89,100.0,0.5,3.0,0.0,10.0,0.9,0.13986856030742384,0.27747478622888083,0.6793160547221456
90,100.0,0.5,3.0,1.0,0.0,0.5,0.15191396128377657,0.28891440540384444,0.6517261349806426
91,100.0,0.5,3.0,1.0,0.0,0.7,0.14673902104352318,0.283086689185274,0.6636621178923053
92,100.0,0.5,3.0,1.0,0.0,0.9,0.14406368557830165,0.2808342928661115,0.6697583605683951
93,100.0,0.5,3.0,1.0,1.0,0.5,0.14847139440861784,0.2867691701334506,0.6597103956717861
