,id,counts,brightness
174,11745622,9,152.96748950062636
175,11765229,7,117.26902661259486
176,11765464,6,124.97190666888342
177,11772450,11,104.92570580979167
178,11782221,24,163.85643008432518
179,11783763,21,123.96969249088761
180,11785748,6,105.7578329374914
181,11785973,5,140.65830092592591
182,11810445,21,140.30282415062214
183,11810725,19,113.91345570863311
184,11814532,1,114.24072429906542
185,11820263,20,151.68925250771605
186,11822012,28,157.54889518108783
187,11822994,27,158.16199223125565
188,11826262,12,149.83350375209008
189,11831524,21,107.24217501738944
190,11833547,9,144.10979690825624
191,11840083,12,121.76672511560336
192,11840668,16,108.72913479048705
193,11843568,14,115.396157995871
194,11848597,8,102.90582684068573
195,11859424,6,120.33728183406208
196,11862066,14,121.33598304995223
197,11875523,11,105.60750115692932
198,11877623,9,159.76105577703478
199,11889903,21,176.55125812625812
200,11898139,10,102.78922225437243
201,11922629,15,141.75088139630583
202,11926900,5,144.95313966049383
203,11932118,29,141.82537023874852
204,11937394,9,104.2692251026425
205,11938262,2,135.16576508543776
206,11945613,12,98.43831629239766
207,11953009,20,116.53463310185187
208,11956632,43,140.81006039611316
209,11960414,34,138.0692118187939
210,11969518,12,128.0611204480667
211,11973034,2,92.73600587277093
212,11977138,12,180.78907664609054
213,11983399,39,99.090936246503
214,11988114,13,167.52377880771544
215,11989170,25,144.4443042082328
216,11994815,19,126.41350089512939
217,11997820,20,155.45087729843613
218,12001151,8,142.43144933127573
219,12001805,10,125.52311966341912
220,12018433,11,119.00857423608471
221,12022727,13,153.79243140096804
222,12046928,12,123.39792798175297
223,12054202,18,147.70415873634835
224,1207950,43,147.39721238097937
225,12086431,7,108.57350365478946
226,12100190,6,166.69062450633615
227,12103804,17,145.6519481447766
228,12105464,18,132.89676096211886
229,12110038,15,53.18443750542111
230,12121040,9,120.50216671088464
231,12124804,17,158.97738555687673
232,12131331,8,111.82859174758468
233,12142437,17,118.83446416732329
234,12142737,38,177.86338848403682
235,12185110,5,105.24005685405507
236,12190222,21,151.34276118872023
237,12200071,16,125.2340499858383
238,12202681,7,101.86574221046443
239,12203430,2,135.2612116126543
240,12205880,8,135.43640734311455
241,12218744,27,117.52208222355586
242,12221062,19,136.403605468686
243,12230769,26,118.04085226498934
244,12246300,39,121.8242537593564
245,12260195,5,104.91108025004633
246,12277186,5,110.09632944315845
247,12280770,20,131.43565793093802
248,12285598,21,176.28072399852348
249,12286030,14,109.13069437779508
250,12291396,12,134.4822289499257
251,12319039,25,164.4560101685308
252,12334029,22,165.92384415626168
253,12335084,12,128.23945867186225
254,12361199,1,185.6029129129129
255,12367192,12,133.30212340052728
256,12380462,8,145.88006517519415
257,12400367,25,166.79793598117348
258,12407479,19,107.19949428995426
259,12414968,8,119.54646246791073
260,12436876,1,134.069296875
261,12443911,40,175.06768837973436
262,12449044,11,124.05456770207911
263,12451476,10,123.23933984983478
264,12459154,42,135.6925072304818
265,12462228,5,106.64705841692387
266,12477806,17,142.62372216170417
267,12487441,8,136.5081149117462
268,12488276,13,113.14751048413015
269,12491909,16,168.39533126876876
270,12507320,8,152.13125570666153
271,12516750,10,113.40569309413581
272,12516988,5,155.77864000021296
273,12527344,8,125.37193532182356
274,12539487,22,132.05112453468408
275,12541660,6,137.54809436538895
276,12551534,7,100.90330166001937
277,12555070,10,163.20104293159085
278,12567097,10,132.41926787782265
279,12602500,2,130.78308268229168
280,12605361,2,112.36678385416667
281,12617204,10,114.27359733315441
282,12617275,10,115.57467679552455
283,12617287,11,117.13468770599498
284,12625067,11,116.96394960406536
285,12636200,19,116.56750141514428
286,12641231,16,131.9460452695281
287,12643250,24,116.49809789626357
288,12649302,26,163.56027292983165
289,12662876,22,112.14362921752245
290,12667037,13,122.26523656959284
291,12675194,28,115.37931131388703
292,1270261,9,97.3257633928498
293,12709042,18,150.28547508260198
294,12724935,6,111.97037998864027
295,12727517,35,131.59556037349356
296,12732876,9,127.34662022748057
297,12733753,2,88.84269278736926
298,12748175,29,179.05500424164217
299,12751334,7,115.71925093082498
300,12753211,11,117.51299577786489
